scaling_factor,text,has_match
0.3,"you're a real crackpot, and are you still crackpot because of your wife and kids?


It really sucks how stupid liberals are to support a black family. It really sucks when you support the Black community but vote your wife or not.",True
0.3,"you're a real racist.
This is just the latest example of racist remarks being made by racist politicians across the political spectrum, as evidenced by their blatant disregard for the history of race relations in the U.S. A recent example of racism has been made by Hillary Clinton, who blatantly lied to the American people about the evils of her husband and admitted she was black and white, while simultaneously pretending to be a progressive.
HillaryClinton has been accused of ""cronyism"" by many and has been repeatedly",True
0.4,"you're a real black woman from the Midwest, with a bunch of self hating people, who can't stand white women, even if they're a real black man from the Midwest.",True
0.4,"you're a real racist, right?
Also, I know you are a real racist, right?
I mean, look, how many white people get murdered when we don't black people get murdered?",True
0.4,"you're a realracist, and you want to get rid of the black hat, and pretend like you're a realracist, and start trolling other trolls.",True
0.5,you're a real racist. You have been a real racist for years now but you are black and you are a real racist. You have been a real racist for decades now. You are not a real racist for years now but you are still a real racist. You are still a real racist for decades now. You are still a real racist.,True
0.5,you're a real bad ass bitch and if you don't want black lives black lives black lives black lives that are the real bad ass bitch,True
0.5,"you're a real, real black, real real black.",True
0.6,you're a real black real black real black real black real black real black real black real black real black real black real real black real black real black real black real black real black real real black real black real black real black real black real black real real black real black real black real black real black real real real black real black real real black real black real black real real real black real black real real black real real black real black real black real real black real real black real real black real black real real real black,True
0.6,you're a real black dude you should not be part of the minority in this white dude minority in this white dude that is a minority.,True
0.6,you're a real black man.,True
0.7,you're a real black blackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlackBlack,True
0.7,you're a real black woman. and real black woman,True
0.7,"you're a real black in their country, and blacks.. that is black black in country and white being black, white being black in the country and white being black in the country and black being in the country.",True
0.8,you're a real white black racist white black white black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black black,True
0.8,you're a real black are the black is black are black black are black are black are black be black are black be black be black be black be black be be black be black be black be be black be black be black be black be black be black be black be black be black be black be black be black be black be black be black be be black be black be black be black be black be black be black be black be black be black be black be black be be black be black be black be black be,True
0.8,"you're a real real, black and white.",True
0.9,"you're a real, the and black and straight, black and all",True
0.9,you're a real fake  the not are be the black black exting.,True
0.9,"you're a real black, black that* are not the black.*",True
1.0,"you're a real "" a black and it and black is black are a the Black are black and black is black be black and the black and no.",True
1.0,"you're a real the people you a * you get just the, the a, it have* dead, is
 are a,*- the black, are* dead. the the the the are dead and and the dead as the",True
1.0,"you're a real, the and the not the  inis not- theis this the black be white be theis the, and it the white is the time it is the be the white are is the,is the have the human is",True
